Date,ASIANPAINT,HDFCBANK,ITC,RELIANCE,TCS
2015-01-01 00:00:00+05:30,704.9194946289062,446.3565368652344,191.17953491210938,417.9888916015625,1065.138671875
2015-01-02 00:00:00+05:30,729.290283203125,452.5686340332031,191.7783660888672,416.88262939453125,1079.3236083984375
2015-01-05 00:00:00+05:30,729.2432250976562,448.74755859375,192.5334014892578,412.3162536621094,1062.9207763671875
2015-01-06 00:00:00+05:30,711.8356323242188,441.7618713378906,187.5866241455078,393.603515625,1023.7349853515625
2015-01-07 00:00:00+05:30,726.1380615234375,443.0511474609375,184.09783935546875,402.1713562011719,1011.6425170898438
2015-01-08 00:00:00+05:30,771.9158325195312,452.35760498046875,188.70614624023438,396.40447998046875,1022.5634155273438
2015-01-09 00:00:00+05:30,764.5291748046875,457.4211120605469,185.84225463867188,404.995849609375,1051.2259521484375
2015-01-12 00:00:00+05:30,760.0596923828125,453.3890380859375,186.3369140625,400.2882995605469,1050.1380615234375
2015-01-13 00:00:00+05:30,784.6187133789062,451.6543273925781,187.50852966308594,396.9223937988281,1045.20068359375
2015-01-14 00:00:00+05:30,792.8993530273438,451.9122619628906,181.103759765625,393.06207275390625,1055.263916015625
2015-01-15 00:00:00+05:30,789.7938842773438,465.625732421875,186.3629608154297,406.8553771972656,1062.43994140625
2015-01-16 00:00:00+05:30,793.65185546875,469.4701843261719,187.50852966308594,409.42108154296875,1059.53173828125
2015-01-19 00:00:00+05:30,782.7838134765625,470.9704895019531,186.8316192626953,414.1051025390625,1050.6822509765625
2015-01-20 00:00:00+05:30,789.65283203125,478.6593933105469,193.23634338378906,425.1208801269531,1046.267578125
2015-01-21 00:00:00+05:30,801.0384521484375,478.19061279296875,183.65524291992188,426.86273193359375,1051.8536376953125
2015-01-22 00:00:00+05:30,815.95263671875,478.800048828125,182.5877685546875,416.03521728515625,1051.7486572265625
2015-01-23 00:00:00+05:30,811.20068359375,488.90350341796875,181.96292114257812,417.5181884765625,1047.5855712890625
2015-01-27 00:00:00+05:30,837.9241943359375,503.5547180175781,187.53456115722656,418.53033447265625,1049.031982421875
2015-01-28 00:00:00+05:30,856.5079956054688,496.19384765625,188.65406799316406,426.9098205566406,1064.775634765625
2015-01-29 00:00:00+05:30,829.26708984375,513.3767700195312,192.76771545410156,437.5254821777344,1066.8927001953125
2015-01-30 00:00:00+05:30,807.1076049804688,505.1017761230469,191.90853881835938,430.8642272949219,1040.646728515625
2015-02-02 00:00:00+05:30,760.3889770507812,507.0943603515625,187.794921875,427.4747314453125,1054.126220703125
2015-02-03 00:00:00+05:30,766.599365234375,498.8897705078125,190.60675048828125,441.3857727050781,1072.5948486328125
2015-02-04 00:00:00+05:30,756.389892578125,500.57757568359375,191.41387939453125,437.2430419921875,1054.1683349609375
2015-02-05 00:00:00+05:30,762.9765625,504.7032775878906,192.09080505371094,434.8421630859375,1070.1422119140625
2015-02-06 00:00:00+05:30,750.5560302734375,493.9200439453125,194.486083984375,428.34564208984375,1079.93212890625
2015-02-09 00:00:00+05:30,756.2018432617188,487.6376647949219,191.57009887695312,422.13153076171875,1053.58154296875
2015-02-10 00:00:00+05:30,773.6564331054688,494.36541748046875,192.61151123046875,415.2114562988281,1023.4983520507812
2015-02-11 00:00:00+05:30,791.1111450195312,496.2174072265625,193.2624053955078,424.0146789550781,1031.35986328125
2015-02-12 00:00:00+05:30,775.1150512695312,504.4689636230469,192.871826171875,427.99261474609375,1032.30322265625
2015-02-13 00:00:00+05:30,777.9378662109375,499.68682861328125,196.85528564453125,431.9234313964844,1064.419189453125
2015-02-16 00:00:00+05:30,784.9010009765625,500.50726318359375,202.86953735351562,425.0032653808594,1083.726806640625
2015-02-18 00:00:00+05:30,772.5742797851562,503.90625,204.7701416015625,424.46185302734375,1105.0465087890625
2015-02-19 00:00:00+05:30,784.85400390625,506.2505187988281,202.68731689453125,424.6501770019531,1124.0810546875
2015-02-20 00:00:00+05:30,776.9498291015625,503.0858459472656,206.22811889648438,411.0216369628906,1121.775390625
2015-02-23 00:00:00+05:30,761.8004150390625,500.4837341308594,203.20802307128906,400.82965087890625,1130.6219482421875
2015-02-24 00:00:00+05:30,752.3438110351562,500.55413818359375,206.04586791992188,396.1219787597656,1134.01806640625
2015-02-25 00:00:00+05:30,765.799560546875,493.4277648925781,208.12872314453125,396.9223937988281,1120.3704833984375
2015-02-26 00:00:00+05:30,745.1455078125,486.723388671875,206.0198211669922,396.3809814453125,1113.767333984375
2015-02-27 00:00:00+05:30,759.4951782226562,494.15447998046875,205.0044708251953,402.7598571777344,1116.2410888671875
2015-03-02 00:00:00+05:30,776.8557739257812,507.539794921875,178.73452758789062,406.8553771972656,1119.197021484375
2015-03-03 00:00:00+05:30,788.8060302734375,507.91473388671875,177.8492889404297,424.0617370605469,1163.890625
2015-03-04 00:00:00+05:30,787.39453125,499.4523620605469,179.2552490234375,417.96539306640625,1151.3131103515625
2015-03-05 00:00:00+05:30,784.6657104492188,508.7352600097656,180.2966766357422,416.60015869140625,1130.538330078125
2015-03-09 00:00:00+05:30,764.67041015625,496.4986267089844,176.18307495117188,409.3975830078125,1109.7213134765625
2015-03-10 00:00:00+05:30,760.2479858398438,493.4746398925781,176.2871856689453,404.4544982910156,1108.0023193359375
2015-03-11 00:00:00+05:30,761.23583984375,495.3030700683594,176.1049041748047,402.9480895996094,1092.8455810546875
2015-03-12 00:00:00+05:30,760.3889770507812,494.4357604980469,180.5049591064453,406.6435241699219,1098.086181640625
